ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
AAPL,Apple Inc.,,2025,,10-Q,2025-01-31,2024-12-28,124300.0,,,42832.0,36330.0,2.41,2.4,344085.0,133240.0,277327.0,144365.0,66758.0,29935.0,,,29.23,34.46,0.92,80.6
AAPL,Apple Inc.,,2025,,10-Q,2025-05-02,2025-03-29,219659.0,,,72421.0,61110.0,4.06,4.05,331233.0,118674.0,264437.0,144571.0,66796.0,53887.0,,,27.82,32.97,0.82,79.83
AAPL,Apple Inc.,,2025,,10-Q,2025-05-02,2024-03-30,210328.0,,,68273.0,57552.0,3.72,3.71,,,,,74194.0,62585.0,,,27.36,32.46,,
AAPL,Apple Inc.,,2024,,10-K,2024-11-01,2024-09-28,391035.0,,,123216.0,93736.0,6.11,6.08,364980.0,152987.0,308030.0,176392.0,56950.0,118254.0,,,23.97,31.51,0.87,84.4
AAPL,Apple Inc.,,2024,,10-Q,2024-02-02,2023-12-30,119575.0,,,40373.0,33916.0,2.19,2.18,353514.0,143692.0,279414.0,133973.0,74100.0,39895.0,,,28.36,33.76,1.07,79.04
AAPL,Apple Inc.,,2024,,10-Q,2024-08-02,2024-06-29,296105.0,,,93625.0,79000.0,5.13,5.11,331612.0,125435.0,264904.0,131624.0,66708.0,91443.0,,,26.68,31.62,0.95,79.88
AAPL,Apple Inc.,,2023,,10-K,2023-11-03,2023-09-30,383285.0,,,114301.0,96995.0,6.16,6.13,352583.0,143566.0,290437.0,145308.0,62146.0,110543.0,,,25.31,29.82,0.99,82.37
AAPL,Apple Inc.,,2023,,10-Q,2023-02-03,2022-12-31,117154.0,,,36016.0,29998.0,1.89,1.88,346747.0,128777.0,290020.0,137286.0,56727.0,34005.0,,,25.61,30.74,0.94,83.64
AAPL,Apple Inc.,,2023,,10-Q,2023-05-05,2023-04-01,211990.0,,,64334.0,54158.0,3.42,3.41,332160.0,112913.0,270002.0,120075.0,62158.0,62565.0,,,25.55,30.35,0.94,81.29
AAPL,Apple Inc.,,2023,,10-Q,2023-08-04,2023-07-01,293787.0,,,87332.0,74039.0,4.69,4.67,335038.0,122659.0,274764.0,124963.0,60274.0,88945.0,,,25.2,29.73,0.98,82.01
AAPL,Apple Inc.,,2022,,10-K,2022-10-28,2021-09-25,365817.0,,,108949.0,94680.0,5.67,5.61,351002.0,134836.0,287912.0,125481.0,63090.0,104038.0,,,25.88,29.78,1.07,82.03
AAPL,Apple Inc.,,2022,,10-K,2022-10-28,2020-09-26,274515.0,,,66288.0,57411.0,3.31,3.28,,,,,65339.0,80674.0,,,20.91,24.15,,
AAPL,Apple Inc.,,2022,,10-K,2022-10-28,2022-09-24,394328.0,,,119437.0,99803.0,6.15,6.11,352755.0,135405.0,302083.0,153982.0,50672.0,122151.0,,,25.31,30.29,0.88,85.64
AAPL,Apple Inc.,,2022,,10-Q,2022-04-29,2021-03-27,201023.0,,,61037.0,52385.0,3.11,3.08,,,,,69178.0,62744.0,,,26.06,30.36,,
AAPL,Apple Inc.,,2022,,10-Q,2022-04-29,2022-03-26,221223.0,,,71467.0,59640.0,3.65,3.62,350662.0,118180.0,283263.0,127508.0,67399.0,75132.0,,,26.96,32.31,0.93,80.78
AAPL,Apple Inc.,,2022,,10-Q,2022-07-29,2022-06-25,304182.0,,,94543.0,79082.0,4.86,4.82,336309.0,112292.0,278202.0,129873.0,58107.0,98024.0,,,26.0,31.08,0.86,82.72
AAPL,Apple Inc.,,2022,,10-Q,2022-01-28,2021-12-25,123945.0,,,41488.0,34630.0,2.11,2.1,381191.0,153154.0,309259.0,147574.0,71932.0,46966.0,,,27.94,33.47,1.04,81.13
AAPL,Apple Inc.,,2021,,10-Q,2021-01-28,2020-12-26,111439.0,,,33534.0,28755.0,1.7,1.68,354054.0,154106.0,287830.0,132507.0,66224.0,38763.0,,,25.8,30.09,1.16,81.3
